,N_S,N_W,S_N,S_W,W_N,W_S
397,41.684563,22.806175,54.46914,3.4302292,24.25119,9.985352
398,40.65452,22.327242,53.96441,3.4294157,24.949596,9.60311
399,39.183487,21.398386,52.53935,3.578318,24.712772,9.238393
400,37.275288,20.543144,50.85986,3.8109887,23.956884,8.918899
401,35.10456,19.107264,48.636875,4.0385075,22.446852,8.495297
402,32.671997,17.740816,46.209312,3.9687946,20.800602,7.849878
403,30.815569,16.163965,42.98011,3.7732244,18.91708,7.795339
404,28.812716,14.653027,40.07509,3.7185771,17.032114,7.6455107
405,26.921024,13.573873,37.995033,3.6496613,15.2792,7.4656487
406,24.987215,12.742869,35.774582,3.4273703,13.911243,7.565589
407,23.995222,12.159612,34.39526,3.1711068,13.136533,7.8984094
408,23.015215,11.612429,33.518215,2.9090886,12.502012,7.8043056
409,21.636337,10.942798,32.766186,2.812409,11.905737,8.066532
410,21.048317,10.526059,32.751747,2.7723186,11.839064,8.0660305
411,21.472122,10.102032,32.653038,2.674537,11.826073,8.263658
412,22.359537,9.831314,32.524715,2.5961413,11.725295,8.4290495
413,23.466795,9.770143,32.81695,2.5828166,11.987191,8.835214
414,24.44691,9.551355,32.869976,2.5123372,12.1098175,8.835897
